8704;Los 3 gordinflones;1
8706;Los 3 gordinflones;1
8708-09;Aquí vive Lenin;2
8711-12;Aquí vive Lenin;2
8714-19;Kish y dos carteras;6
8722-27;El perro salado;6
8732-43;Ciudades y años;12
8744-50;El mes más caluroso;7
8751-53;Así se forjó el acero 1a parte;3
8755-60;Así se forjó el acero 1a parte;6
87691-66;Una ciudad extraordinaria;6
8769-72;Camino a las estrellas;4
8774-75;La isla en llamas;2
8776-79;La isla en llamas;4
8780-86;El último encuentro;7
8789-95;El comandante del submarino;7
8805-08;El hombre de otro lado;4
8809-11;Catedrales antiguas del Kiev;3
8813-14;En la lucha se forja la juventud del planeta;2
8821-23;Leili Ymedzhnun;3
8824-25;La despedida de Petersburgo;2
8832;La despedida de Petersburgo;1
8834-39;Boris Godunov;6
8843-44;El fósforo sueco TR.;2
8845;Noticiero para niños Pionería #1;1
8846;Othello;1
8853-56;Ciudades y años;4
8857;Aquí vivió Hemingway;1
8858;En escafandra sobre el planeta;1
8860-62;Maestros del balet;3
8865-66;Maestros del balet ruso;2
8873-74;Daurua - Estudios de Kiev;2
8875;Daurua - Estudios de Kiev;1
8876-78;Sin título - Películas Rus;3
8879;Maravillas por Siberia;1
8880;Sin título - Películas Rus;1
8881;Créditos en Rus;1
8882-83;Estudios de Karelia;2
8884-85;Rancho Rango Suite Tadzhika;2
8886;Por la unión soviética;1
8887;Moscú No. 6 Ciudad de las Artes;1
8888-89;Universidad 1973;2
8890;Universidad 1973;1
8891-96;Maravillas con Siberia;6
8897-98;Pequeñas maravillas de la naturaleza;2
8899-00;Armada Soviética Patriótica;2
8905-10;Opinión Propia;6
8911;Tumba de Timur;1
8912-13;Escuela Militar de Campaña;2
8914-15;Cuanta agua tengo;2
8916;Industria de máquinas herramientas en la URSS;1
8917-18;10 minutos en la URSS;2
8919;10 minutos en la URSS;1
8920;La canción de Suanetia;1
8921;Por la unión soviética;1
8922;El planeta de los enigmas - Quiero saberlo todo;1
8923;Gloria a los jovenes especialistas;1
8924-25;El corazón de Rusia;2
8926-27;Hay una aldea en Maschera;2
8928;La poesía de lo cotidiano;1
8929;De qué piensa Soldado ahí donde corre el ciervo;1
8930;El hombre entra en el cosmos;1
8931;el mundo este día;1
8932;Fluye el río Volga;1
8933;El hombre invisible TR.;1
8940-57;La sombra del Tunco;18
8958-59;La sombra del Tunco TR.;2
8960-79;Tropicana;20
8980-81;Tropicana TR.;2
8982-99;Cristo;18
9000-01;Cristo TR.;2
9002-19;El mejor del mundo;18
9020-37;San Juan de Dios;18
9038-39;San Juan de Dios TR.;2
9040-47;El rapto de la Sabine;8
9291-00;Los pobres ilegales;10
9301-10;Los pobres ilegales;10
9311-19;Las baileras;9
9320-28;Las baileras;9
9329-30;Las baileras TR.;2
9331-39;El silla de Ruedas IV - El último desafío;9
9340-48;El silla de Ruedas IV - El último desafío;9
9349-52;La madrecita;4
9353-56;Los Beverly de Peralvillo;4
9357-58;La criada bien criada;2
9359-64;Departamento de soltero;6
9365-66;El miedo no anda en burro;2
9367-68;Pobre pero honrrado;2
9377-78;Caminando pasos caminando;2
9394;Las fiestas de San Francisco;1
9471-77;Pepsi;7
9492;Documental UNAM 2;1
9509;Documental estado Wembley final de la liga inglesa;1
9513;De todos modos J. te llamas;1
9532;Trabajo social;1
9533;I.Q.H. Economia;1
9534;Teatro Chicano;1
9535;Futbol americano;1
9536;Premio ZIME;1
9592;L.Q.H. Ciudad transporte Medicina Salud;1
9593;L.Q.H. Historia del billete - Salud - Historia del Billete;1
9594;L.Q.H Taller mecanico-L.Q.H Poli ingenieros;1
9595;Servicio Social - Transporte 3;1
9596;Ciencias;1
9597;Transportes 2;1
9598;Carrillo Castro y servicio social;1
9599;Tornado de lucha;1
9600;Energia;1
9601;Trabajo social;1
9602;CESIC ESIME;1
9603;Medicina L.Q.H.;1
9604;Telefono y el ocio;1
9605;Comunicación;1
9606;Metro;1
9607;Sin titulo;1
9608;Brunmal maubirna y 23 u las investigaciones electricas;1
9609;Servicio social Servicio social medicina;1
9610;Metro UIMS;1
9611;Agiacom mexicano Inv Geutrier;1
9612;Pemex;1
9613;CESIC ESIME;1
9614;Transportes 5;1
9615;Las cajas negras gas licuado;1
9617;IMG Politecnico y cirosis;1
9618;Miembros usted llama L.Q.H.;1
9619;Transporte y comunicación;1
9620;L.Q.H. CICS II CICORSA II;1
9621;Programa Luis Suarez: La pildora;1
9622;Programa Luis Suarez: Entrevista RASCOM;1
9623;Programa Luis Suarez: Siqueiros Mudial de la vida;1
9624;Programa Luis Suarez: Sobrantes y la URSS;1
9625;Programa Luis Suarez: Horal Agniw;1
9626;Programa Luis Suarez: Programa tierra;1
9627;Programa Luis Suarez: Tomas Borge;1
9628;Finanazas mixtas entrevista embajador de Nicaragua;1
